player_id,player_name,player_first_name,player_last_name,player_team,player_team_id,previous_games,previous_average,previous_total,locked,active,played_status,injury_suspension_status,injury_suspension_status_text
59,Will Sutherland,Will,Sutherland,Melbourne Renegades,4,14,51.14,716,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
60,Mujeeb Ur Rahman,Mujeeb,Ur Rahman,Melbourne Renegades,4,9,40.78,367,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
61,Jon Wells,Jon,Wells,Melbourne Renegades,4,14,24.36,341,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
62,Adam Zampa,Adam,Zampa,Melbourne Renegades,4,14,42.57,596,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
63,Scott Boland,Scott,Boland,Melbourne Stars,5,0,0,0,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
64,Harry Brook,Harry,Brook,Melbourne Stars,5,0,0,0,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
65,Joe Burns,Joe,Burns,Melbourne Stars,5,1,18,18,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
66,Hilton Cartwright,Hilton,Cartwright,Melbourne Stars,5,14,29.71,416,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
67,Brody Couch,Brody,Couch,Melbourne Stars,5,1,43,43,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
68,Nathan Coulter-Nile,Nathan,Coulter-Nile,Melbourne Stars,5,11,55.55,611,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
69,Sam Harper,Sam,Harper,Melbourne Stars,5,11,42,462,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
70,Campbell Kellaway,Campbell,Kellaway,Melbourne Stars,5,9,15.22,137,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
71,Nick Larkin,Nick,Larkin,Melbourne Stars,5,14,24.21,339,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
72,Glenn Maxwell,Glenn,Maxwell,Melbourne Stars,5,0,0,0,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
73,Usama Mir,Usama,Mir,Melbourne Stars,5,0,0,0,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
74,Joel Paris,Joel,Paris,Melbourne Stars,5,9,30.67,276,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
75,Haris Rauf,Haris,Rauf,Melbourne Stars,5,0,0,0,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
76,Tom Rogers,Tom,Rogers,Melbourne Stars,5,14,37.43,524,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
77,Mark Steketee,Mark,Steketee,Melbourne Stars,5,8,38.25,306,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
78,Marcus Stoinis,Marcus,Stoinis,Melbourne Stars,5,9,37.67,339,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
79,Beau Webster,Beau,Webster,Melbourne Stars,5,14,55.86,782,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
80,Ashton Agar,Ashton,Agar,Perth Scorchers,6,10,34.3,343,FALSE,TRUE,Yet to play,NA,NA
81,Jason Behrendorff,Jason,Behrendorff,Perth Scorchers,6,12,57.33,688,FALSE,TRUE,Yet to play,NA,NA
82,Cooper Connolly,Cooper,Connolly,Perth Scorchers,6,2,32.5,65,FALSE,TRUE,Yet to play,NA,NA
83,Zak Crawley,Zak,Crawley,Perth Scorchers,6,8,38.75,310,FALSE,TRUE,Yet to play,NA,NA
84,Laurie Evans,Laurie,Evans,Perth Scorchers,6,0,0,0,FALSE,TRUE,Yet to play,NA,NA
85,Aaron Hardie,Aaron,Hardie,Perth Scorchers,6,13,57.54,748,FALSE,TRUE,Yet to play,NA,NA
86,Nick Hobson,Nick,Hobson,Perth Scorchers,6,14,17,238,FALSE,TRUE,Yet to play,NA,NA
87,Josh Inglis,Josh,Inglis,Perth Scorchers,6,14,57.86,810,FALSE,TRUE,Yet to play,NA,NA
88,Matt Kelly,Matt,Kelly,Perth Scorchers,6,7,47.43,332,FALSE,TRUE,Yet to play,NA,NA
89,Mitch Marsh,Mitch,Marsh,Perth Scorchers,6,0,0,0,FALSE,TRUE,Yet to play,NA,NA
90,Hamish McKenzie,Hamish,McKenzie,Perth Scorchers,6,0,0,0,FALSE,TRUE,Yet to play,NA,NA
91,Lance Morris,Lance,Morris,Perth Scorchers,6,4,72.5,290,FALSE,TRUE,Yet to play,NA,NA
92,Jhye Richardson,Jhye,Richardson,Perth Scorchers,6,7,79.71,558,FALSE,TRUE,Yet to play,NA,NA
93,Ashton Turner,Ashton,Turner,Perth Scorchers,6,14,34.07,477,FALSE,TRUE,Yet to play,NA,NA
94,Andrew Tye,Andrew,Tye,Perth Scorchers,6,14,59.86,838,FALSE,TRUE,Yet to play,NA,NA
95,Sam Whiteman,Sam,Whiteman,Perth Scorchers,6,3,18,54,FALSE,TRUE,Yet to play,NA,NA
96,Sean Abbott,Sean,Abbott,Sydney Sixers,7,13,63.77,829,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
97,Rehan Ahmed,Rehan,Ahmed,Sydney Sixers,7,0,0,0,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
