match,home_team,away_team,market,player_name,player_team,line,over_price,agency,opposition_team
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Caleb Jewell,Hobart Hurricanes,0.5,1.28,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Caleb Jewell,Hobart Hurricanes,0.5,1.28,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Caleb Jewell,Hobart Hurricanes,2.5,2.3,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Caleb Jewell,Hobart Hurricanes,2.5,2.3,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Caleb Jewell,Hobart Hurricanes,4.5,4.2,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Caleb Jewell,Hobart Hurricanes,4.5,4.2,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Ben McDermott,Hobart Hurricanes,0.5,1.27,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Ben McDermott,Hobart Hurricanes,0.5,1.27,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Ben McDermott,Hobart Hurricanes,2.5,2.25,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Ben McDermott,Hobart Hurricanes,2.5,2.25,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Ben McDermott,Hobart Hurricanes,4.5,4,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Ben McDermott,Hobart Hurricanes,4.5,4,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Matthew Wade,Hobart Hurricanes,0.5,1.26,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Matthew Wade,Hobart Hurricanes,0.5,1.26,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Matthew Wade,Hobart Hurricanes,2.5,2.3,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Matthew Wade,Hobart Hurricanes,2.5,2.3,BetRight,Sydney Sixers
