match,start_time,market,home_team,home_win,away_team,away_win,margin,agency
Brisbane Heat v Melbourne Stars,2023-12-07T08:15:00Z,Head To Head,Brisbane Heat,1.77,Melbourne Stars,2.05,1.053,Pointsbet
Sydney Sixers v Melbourne Renegades,2023-12-08T08:15:00Z,Head To Head,Sydney Sixers,1.62,Melbourne Renegades,2.3,1.052,Pointsbet
