match,home_team,away_team,market,player_name,player_team,line,over_price,agency,opposition_team
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Patrick Dooley,NA,0.5,1.3,BlueBet,NA
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Patrick Dooley,NA,1.5,2.4,BlueBet,NA
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Patrick Dooley,NA,2.5,5.25,BlueBet,NA
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Nathan Ellis,Hobart Hurricanes,0.5,1.23,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Nathan Ellis,Hobart Hurricanes,1.5,2.05,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Nathan Ellis,Hobart Hurricanes,2.5,4.3,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Peter hatzoglou,NA,0.5,1.3,BlueBet,NA
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Peter hatzoglou,NA,1.5,2.4,BlueBet,NA
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Peter hatzoglou,NA,2.5,5.25,BlueBet,NA
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Chris Jordan,Hobart Hurricanes,0.5,1.3,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Chris Jordan,Hobart Hurricanes,1.5,2.4,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Chris Jordan,Hobart Hurricanes,2.5,5.25,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Riley Meredith,Hobart Hurricanes,0.5,1.3,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Riley Meredith,Hobart Hurricanes,1.5,2.4,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Riley Meredith,Hobart Hurricanes,2.5,5.25,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Jackson Bird,Sydney Sixers,0.5,1.34,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Jackson Bird,Sydney Sixers,1.5,2.5,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Jackson Bird,Sydney Sixers,2.5,6,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Tom Curran,Sydney Sixers,0.5,1.26,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Tom Curran,Sydney Sixers,1.5,2.15,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Tom Curran,Sydney Sixers,2.5,4.7,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Ben Dwarshuis,Sydney Sixers,0.5,1.28,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Ben Dwarshuis,Sydney Sixers,1.5,2.25,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Ben Dwarshuis,Sydney Sixers,2.5,5,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Steve O'Keefe,Sydney Sixers,0.5,1.28,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Steve O'Keefe,Sydney Sixers,1.5,2.25,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Steve O'Keefe,Sydney Sixers,2.5,5,BlueBet,Hobart Hurricanes
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Chris Green,Sydney Thunder,0.5,1.28,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Chris Green,Sydney Thunder,1.5,2.3,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Chris Green,Sydney Thunder,2.5,5.2,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Zaman Khan,Sydney Thunder,0.5,1.28,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Zaman Khan,Sydney Thunder,1.5,2.3,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Zaman Khan,Sydney Thunder,2.5,5.2,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Daniel Sams,Sydney Thunder,0.5,1.26,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Daniel Sams,Sydney Thunder,1.5,2.2,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Daniel Sams,Sydney Thunder,2.5,4.7,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Gurinder Sandhu,Sydney Thunder,0.5,1.28,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Gurinder Sandhu,Sydney Thunder,1.5,2.3,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Gurinder Sandhu,Sydney Thunder,2.5,5.2,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Tanveer Sangha,Sydney Thunder,0.5,1.28,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Tanveer Sangha,Sydney Thunder,1.5,2.3,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Tanveer Sangha,Sydney Thunder,2.5,5.2,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Xavier Bartlett,Brisbane Heat,0.5,1.33,BlueBet,Sydney Thunder
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Xavier Bartlett,Brisbane Heat,1.5,2.5,BlueBet,Sydney Thunder
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Xavier Bartlett,Brisbane Heat,2.5,6,BlueBet,Sydney Thunder
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Spencer Johnson,Brisbane Heat,0.5,1.29,BlueBet,Sydney Thunder
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Wickets,Spencer Johnson,Brisbane Heat,1.5,2.35,BlueBet,Sydney Thunder
