match,home_team,away_team,market,player_name,player_team,line,over_price,agency,opposition_team
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Caleb Jewell,Hobart Hurricanes,9.5,1.31,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Caleb Jewell,Hobart Hurricanes,9.5,1.31,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Caleb Jewell,Hobart Hurricanes,19.5,1.66,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Caleb Jewell,Hobart Hurricanes,19.5,1.66,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Caleb Jewell,Hobart Hurricanes,29.5,2.15,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Caleb Jewell,Hobart Hurricanes,29.5,2.15,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Caleb Jewell,Hobart Hurricanes,39.5,2.65,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Caleb Jewell,Hobart Hurricanes,39.5,2.65,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Caleb Jewell,Hobart Hurricanes,49.5,3.3,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Caleb Jewell,Hobart Hurricanes,49.5,3.3,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Ben McDermott,Hobart Hurricanes,9.5,1.3,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Ben McDermott,Hobart Hurricanes,9.5,1.3,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Ben McDermott,Hobart Hurricanes,19.5,1.66,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Ben McDermott,Hobart Hurricanes,19.5,1.66,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Ben McDermott,Hobart Hurricanes,29.5,2.15,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Ben McDermott,Hobart Hurricanes,29.5,2.15,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Ben McDermott,Hobart Hurricanes,39.5,2.65,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Ben McDermott,Hobart Hurricanes,39.5,2.65,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Ben McDermott,Hobart Hurricanes,49.5,3.15,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Ben McDermott,Hobart Hurricanes,49.5,3.15,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Matthew Wade,Hobart Hurricanes,9.5,1.37,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Matthew Wade,Hobart Hurricanes,9.5,1.37,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Matthew Wade,Hobart Hurricanes,19.5,1.86,BetRight,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Matthew Wade,Hobart Hurricanes,19.5,1.86,BetRight,Sydney Sixers
