match,home_team,away_team,market,player_name,player_team,opposition_team,line,over_price,under_price,agency
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Moises Henriques,Sydney Sixers,Hobart Hurricanes,19.5,1.78,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Sam Hain,Hobart Hurricanes,Sydney Sixers,19.5,1.78,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Matthew Wade,Hobart Hurricanes,Sydney Sixers,19.5,1.65,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Ben McDermott,Hobart Hurricanes,Sydney Sixers,19.5,1.7,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,James Vince,Sydney Sixers,Hobart Hurricanes,19.5,1.65,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Daniel Hughes,Sydney Sixers,Hobart Hurricanes,19.5,1.7,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Josh Philippe,Sydney Sixers,Hobart Hurricanes,19.5,1.6800000000000002,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Caleb Jewell,Hobart Hurricanes,Sydney Sixers,19.5,1.77,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Ben McDermott,Hobart Hurricanes,Sydney Sixers,24.5,2.02,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Josh Philippe,Sydney Sixers,Hobart Hurricanes,24.5,1.98,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,James Vince,Sydney Sixers,Hobart Hurricanes,24.5,1.95,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Sam Hain,Hobart Hurricanes,Sydney Sixers,24.5,2.15,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Matthew Wade,Hobart Hurricanes,Sydney Sixers,24.5,1.9100000000000001,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Moises Henriques,Sydney Sixers,Hobart Hurricanes,24.5,2.15,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Daniel Hughes,Sydney Sixers,Hobart Hurricanes,24.5,1.98,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Runs,Caleb Jewell,Hobart Hurricanes,Sydney Sixers,24.5,2.1,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Runs,Nathan McSweeney,Brisbane Heat,Sydney Thunder,9.5,1.25,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Runs,Sam Billings,Brisbane Heat,Sydney Thunder,9.5,1.28,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Player Runs,Colin Munro,Brisbane Heat,Sydney Thunder,9.5,1.15,NA,Neds
