match,market,home_team,away_team,line,over_price,under_price,agency
Melbourne Stars v Brisbane Heat,Runs at Fall of 1st Wicket (First Innings),Melbourne Stars,Brisbane Heat,21.5,1.88,1.88,Sportsbet
Melbourne Renegades v Sydney Sixers,Runs at Fall of 1st Wicket (First Innings),Melbourne Renegades,Sydney Sixers,21.5,1.88,1.88,Sportsbet
