match,home_team,away_team,market,player_name,player_team,line,over_price,agency,opposition_team
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Timothy David,NA,2.5,4.6,BlueBet,NA
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Caleb Jewell,Hobart Hurricanes,0.5,1.91,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Caleb Jewell,Hobart Hurricanes,1.5,3.4,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Caleb Jewell,Hobart Hurricanes,2.5,5.5,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Ben McDermott,Hobart Hurricanes,0.5,1.69,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Ben McDermott,Hobart Hurricanes,1.5,2.65,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Ben McDermott,Hobart Hurricanes,2.5,4,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Matthew Wade,Hobart Hurricanes,0.5,1.74,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Matthew Wade,Hobart Hurricanes,1.5,2.9,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Matthew Wade,Hobart Hurricanes,2.5,4.8,BlueBet,Sydney Sixers
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Moises Henriques,Sydney Sixers,0.5,2.05,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Moises Henriques,Sydney Sixers,1.5,4.2,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Moises Henriques,Sydney Sixers,2.5,8,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Josh Philippe,Sydney Sixers,0.5,1.87,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Josh Philippe,Sydney Sixers,1.5,3.3,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Josh Philippe,Sydney Sixers,2.5,5,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,James Vince,Sydney Sixers,0.5,1.74,BlueBet,Hobart Hurricanes
