match,home_team,away_team,market,player_name,player_team,opposition_team,line,over_price,under_price,agency
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Todd Murphy,Sydney Sixers,Hobart Hurricanes,0.5,1.26,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Riley Meredith,Hobart Hurricanes,Sydney Sixers,0.5,1.25,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Chris Jordan,Hobart Hurricanes,Sydney Sixers,0.5,1.2,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Stephen O Keefe,NA,NA,0.5,1.25,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Tom Curran,Sydney Sixers,Hobart Hurricanes,0.5,1.22,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Nathan Ellis,Hobart Hurricanes,Sydney Sixers,0.5,1.22,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Peter Hatzoglou,Hobart Hurricanes,Sydney Sixers,0.5,1.3,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Paddy Dooley,Hobart Hurricanes,Sydney Sixers,0.5,1.3,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Ben Dwarshuis,Sydney Sixers,Hobart Hurricanes,0.5,1.26,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Player Wickets,Jackson Bird,Sydney Sixers,Hobart Hurricanes,0.5,1.38,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Player Wickets,Haris Rauf,Melbourne Stars,Perth Scorchers,2.5,4.8,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Player Wickets,Marcus Stoinis,Melbourne Stars,Perth Scorchers,2.5,8,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Player Wickets,Hamish McKenzie,Perth Scorchers,Melbourne Stars,2.5,6,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Player Wickets,Jhye Richardson,Perth Scorchers,Melbourne Stars,2.5,3.6,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Player Wickets,Mark Steketee,Melbourne Stars,Perth Scorchers,2.5,6.6,NA,Neds
