match,market,home_team,away_team,line,over_price,under_price,agency
Brisbane Heat v Melbourne Stars,First Over Runs (First Innings),Brisbane Heat,Melbourne Stars,5.5,1.9,1.9,Sportsbet
Sydney Sixers v Melbourne Renegades,First Over Runs (First Innings),Sydney Sixers,Melbourne Renegades,5.5,1.75,2.05,Sportsbet
