match,home_team,away_team,market,player_name,player_team,opposition_team,line,over_price,under_price,agency
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Cameron Bancroft,Sydney Thunder,Brisbane Heat,0.5,1.33,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Colin Munro,Brisbane Heat,Sydney Thunder,0.5,1.18,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Sam Billings,Brisbane Heat,Sydney Thunder,0.5,1.33,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Jason Sangha,Sydney Thunder,Brisbane Heat,0.5,1.26,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Alex Hales,Sydney Thunder,Brisbane Heat,0.5,1.18,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Matthew Renshaw,Brisbane Heat,Sydney Thunder,0.5,1.25,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Nathan McSweeney,Brisbane Heat,Sydney Thunder,0.5,1.32,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Matthew Gilkes,NA,NA,0.5,1.33,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Alex Hales,Sydney Thunder,Brisbane Heat,2.5,4.8,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Nathan McSweeney,Brisbane Heat,Sydney Thunder,2.5,4.5,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Matthew Renshaw,Brisbane Heat,Sydney Thunder,2.5,4.8,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Sam Billings,Brisbane Heat,Sydney Thunder,2.5,5,NA,Neds
