match,home_team,away_team,market,player_name,player_team,opposition_team,line,over_price,under_price,agency
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Matthew Gilkes,NA,NA,2.5,5.6,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Cameron Bancroft,Sydney Thunder,Brisbane Heat,2.5,6,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Colin Munro,Brisbane Heat,Sydney Thunder,2.5,4.2,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Jason Sangha,Sydney Thunder,Brisbane Heat,2.5,4.75,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Sam Hain,Hobart Hurricanes,Sydney Sixers,1.5,1.62,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,James Vince,Sydney Sixers,Hobart Hurricanes,1.5,1.6,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Caleb Jewell,Hobart Hurricanes,Sydney Sixers,1.5,1.62,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Josh Philippe,Sydney Sixers,Hobart Hurricanes,1.5,1.45,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Moises Henriques,Sydney Sixers,Hobart Hurricanes,1.5,1.62,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Ben McDermott,Hobart Hurricanes,Sydney Sixers,1.5,1.55,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Matthew Wade,Hobart Hurricanes,Sydney Sixers,1.5,1.67,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Daniel Hughes,Sydney Sixers,Hobart Hurricanes,1.5,1.78,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Cameron Bancroft,Sydney Thunder,Brisbane Heat,3.5,3.2,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Matthew Gilkes,NA,NA,3.5,2.75,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Sam Billings,Brisbane Heat,Sydney Thunder,3.5,2.75,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Jason Sangha,Sydney Thunder,Brisbane Heat,3.5,2.4,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Nathan McSweeney,Brisbane Heat,Sydney Thunder,3.5,2.5,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Alex Hales,Sydney Thunder,Brisbane Heat,3.5,2.4,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Matthew Renshaw,Brisbane Heat,Sydney Thunder,3.5,2.75,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Colin Munro,Brisbane Heat,Sydney Thunder,3.5,2.45,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Beau Webster,Melbourne Stars,Perth Scorchers,2.5,5.7,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Stephen Eskinazi,Perth Scorchers,Melbourne Stars,2.5,5.8,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Joe Burns,Melbourne Stars,Perth Scorchers,2.5,4.6,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Josh Inglis,Perth Scorchers,Melbourne Stars,2.5,4.25,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Marcus Stoinis,Melbourne Stars,Perth Scorchers,2.5,5.5,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Cooper Connolly,Perth Scorchers,Melbourne Stars,2.5,4.8,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Thomas Rogers,NA,NA,2.5,5.5,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Aaron Hardie,Perth Scorchers,Melbourne Stars,2.5,3.9,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Matthew Wade,Hobart Hurricanes,Sydney Sixers,0.5,2.25,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,James Vince,Sydney Sixers,Hobart Hurricanes,0.5,1.95,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Caleb Jewell,Hobart Hurricanes,Sydney Sixers,0.5,2.35,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Josh Philippe,Sydney Sixers,Hobart Hurricanes,0.5,2.05,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Moises Henriques,Sydney Sixers,Hobart Hurricanes,0.5,2.5,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Sam Hain,Hobart Hurricanes,Sydney Sixers,0.5,2.5,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Ben McDermott,Hobart Hurricanes,Sydney Sixers,0.5,1.83,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Daniel Hughes,Sydney Sixers,Hobart Hurricanes,0.5,2.35,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Matthew Gilkes,NA,NA,0.5,1.96,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Cameron Bancroft,Sydney Thunder,Brisbane Heat,0.5,2,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Colin Munro,Brisbane Heat,Sydney Thunder,0.5,1.7,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Jason Sangha,Sydney Thunder,Brisbane Heat,0.5,1.98,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Sam Billings,Brisbane Heat,Sydney Thunder,0.5,2,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Nathan McSweeney,Brisbane Heat,Sydney Thunder,0.5,1.98,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Alex Hales,Sydney Thunder,Brisbane Heat,0.5,1.87,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Matthew Renshaw,Brisbane Heat,Sydney Thunder,0.5,1.9,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Aaron Hardie,Perth Scorchers,Melbourne Stars,0.5,1.33,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Beau Webster,Melbourne Stars,Perth Scorchers,0.5,1.3,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Cooper Connolly,Perth Scorchers,Melbourne Stars,0.5,1.24,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Josh Inglis,Perth Scorchers,Melbourne Stars,0.5,1.2,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Stephen Eskinazi,Perth Scorchers,Melbourne Stars,0.5,1.22,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Sam Harper,Melbourne Stars,Perth Scorchers,0.5,1.22,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Thomas Rogers,NA,NA,0.5,1.19,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Joe Burns,Melbourne Stars,Perth Scorchers,0.5,1.35,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Stephen Eskinazi,Perth Scorchers,Melbourne Stars,1.5,3.5,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Beau Webster,Melbourne Stars,Perth Scorchers,1.5,3.5,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Joe Burns,Melbourne Stars,Perth Scorchers,1.5,2.95,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Marcus Stoinis,Melbourne Stars,Perth Scorchers,1.5,3.2,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Cooper Connolly,Perth Scorchers,Melbourne Stars,1.5,2.95,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Aaron Hardie,Perth Scorchers,Melbourne Stars,1.5,2.65,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Josh Inglis,Perth Scorchers,Melbourne Stars,1.5,2.75,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Thomas Rogers,NA,NA,1.5,3.25,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Moises Henriques,Sydney Sixers,Hobart Hurricanes,1.5,4.75,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Sam Hain,Hobart Hurricanes,Sydney Sixers,1.5,4.75,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,James Vince,Sydney Sixers,Hobart Hurricanes,1.5,3.25,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Caleb Jewell,Hobart Hurricanes,Sydney Sixers,1.5,4.2,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Josh Philippe,Sydney Sixers,Hobart Hurricanes,1.5,3.6,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Ben McDermott,Hobart Hurricanes,Sydney Sixers,1.5,3.05,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Matthew Wade,Hobart Hurricanes,Sydney Sixers,1.5,3.7,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Aaron Hardie,Perth Scorchers,Melbourne Stars,0.5,1.8199999999999998,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Joe Burns,Melbourne Stars,Perth Scorchers,0.5,1.94,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Marcus Stoinis,Melbourne Stars,Perth Scorchers,0.5,2,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Stephen Eskinazi,Perth Scorchers,Melbourne Stars,0.5,2.05,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Cooper Connolly,Perth Scorchers,Melbourne Stars,0.5,1.85,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Beau Webster,Melbourne Stars,Perth Scorchers,0.5,2.15,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Josh Inglis,Perth Scorchers,Melbourne Stars,0.5,1.88,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 6s,Thomas Rogers,NA,NA,0.5,1.95,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Caleb Jewell,Hobart Hurricanes,Sydney Sixers,2.5,7.75,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,James Vince,Sydney Sixers,Hobart Hurricanes,2.5,5.4,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Matthew Wade,Hobart Hurricanes,Sydney Sixers,2.5,6.25,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Josh Philippe,Sydney Sixers,Hobart Hurricanes,2.5,6.25,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Moises Henriques,Sydney Sixers,Hobart Hurricanes,2.5,7,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Sam Hain,Hobart Hurricanes,Sydney Sixers,2.5,8,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Ben McDermott,Hobart Hurricanes,Sydney Sixers,2.5,5,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Aaron Hardie,Perth Scorchers,Melbourne Stars,2.5,1.96,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Joe Burns,Melbourne Stars,Perth Scorchers,2.5,2.05,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Cooper Connolly,Perth Scorchers,Melbourne Stars,2.5,2.15,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Stephen Eskinazi,Perth Scorchers,Melbourne Stars,2.5,2.05,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Beau Webster,Melbourne Stars,Perth Scorchers,2.5,2.2,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Sam Harper,Melbourne Stars,Perth Scorchers,2.5,2.05,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Thomas Rogers,NA,NA,2.5,2.02,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Josh Inglis,Perth Scorchers,Melbourne Stars,2.5,2,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Sam Billings,Brisbane Heat,Sydney Thunder,1.5,1.65,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Colin Munro,Brisbane Heat,Sydney Thunder,1.5,1.52,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Matthew Gilkes,NA,NA,1.5,1.85,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Matthew Renshaw,Brisbane Heat,Sydney Thunder,1.5,1.62,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Alex Hales,Sydney Thunder,Brisbane Heat,1.5,1.5,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Nathan McSweeney,Brisbane Heat,Sydney Thunder,1.5,1.6400000000000001,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Cameron Bancroft,Sydney Thunder,Brisbane Heat,1.5,1.65,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Jason Sangha,Sydney Thunder,Brisbane Heat,1.5,1.5699999999999998,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Ben McDermott,Hobart Hurricanes,Sydney Sixers,2.5,1.95,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Matthew Wade,Hobart Hurricanes,Sydney Sixers,2.5,2.05,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Moises Henriques,Sydney Sixers,Hobart Hurricanes,2.5,2.02,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Caleb Jewell,Hobart Hurricanes,Sydney Sixers,2.5,2.1,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Josh Philippe,Sydney Sixers,Hobart Hurricanes,2.5,1.8199999999999998,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Sam Hain,Hobart Hurricanes,Sydney Sixers,2.5,2.05,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,James Vince,Sydney Sixers,Hobart Hurricanes,2.5,1.77,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Daniel Hughes,Sydney Sixers,Hobart Hurricanes,2.5,2.25,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Cameron Bancroft,Sydney Thunder,Brisbane Heat,1.5,3.15,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Sam Billings,Brisbane Heat,Sydney Thunder,1.5,3.15,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Jason Sangha,Sydney Thunder,Brisbane Heat,1.5,3.05,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Alex Hales,Sydney Thunder,Brisbane Heat,1.5,3,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Matthew Renshaw,Brisbane Heat,Sydney Thunder,1.5,3,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Matthew Gilkes,NA,NA,1.5,3.3,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Colin Munro,Brisbane Heat,Sydney Thunder,1.5,2.65,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Nathan McSweeney,Brisbane Heat,Sydney Thunder,1.5,3,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Caleb Jewell,Hobart Hurricanes,Sydney Sixers,0.5,1.25,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Moises Henriques,Sydney Sixers,Hobart Hurricanes,0.5,1.33,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Sam Hain,Hobart Hurricanes,Sydney Sixers,0.5,1.33,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Josh Philippe,Sydney Sixers,Hobart Hurricanes,0.5,1.16,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Matthew Wade,Hobart Hurricanes,Sydney Sixers,0.5,1.35,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Daniel Hughes,Sydney Sixers,Hobart Hurricanes,0.5,1.42,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,James Vince,Sydney Sixers,Hobart Hurricanes,0.5,1.25,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Ben McDermott,Hobart Hurricanes,Sydney Sixers,0.5,1.19,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Aaron Hardie,Perth Scorchers,Melbourne Stars,3.5,2.45,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Thomas Rogers,NA,NA,3.5,2.6,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Josh Inglis,Perth Scorchers,Melbourne Stars,3.5,2.6,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Beau Webster,Melbourne Stars,Perth Scorchers,3.5,3.2,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Joe Burns,Melbourne Stars,Perth Scorchers,3.5,2.55,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Stephen Eskinazi,Perth Scorchers,Melbourne Stars,3.5,2.65,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Sam Harper,Melbourne Stars,Perth Scorchers,3.5,2.7,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Cooper Connolly,Perth Scorchers,Melbourne Stars,3.5,2.8,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Matthew Gilkes,NA,NA,2.5,2.5,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Jason Sangha,Sydney Thunder,Brisbane Heat,2.5,1.9100000000000001,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Matthew Renshaw,Brisbane Heat,Sydney Thunder,2.5,2.1,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Alex Hales,Sydney Thunder,Brisbane Heat,2.5,1.9,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Cameron Bancroft,Sydney Thunder,Brisbane Heat,2.5,2.1,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Nathan McSweeney,Brisbane Heat,Sydney Thunder,2.5,2.02,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Sam Billings,Brisbane Heat,Sydney Thunder,2.5,2.1,NA,Neds
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 4s,Colin Munro,Brisbane Heat,Sydney Thunder,2.5,1.95,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Caleb Jewell,Hobart Hurricanes,Sydney Sixers,3.5,2.75,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,James Vince,Sydney Sixers,Hobart Hurricanes,3.5,2.7,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Josh Philippe,Sydney Sixers,Hobart Hurricanes,3.5,2.3,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Sam Hain,Hobart Hurricanes,Sydney Sixers,3.5,2.6,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Matthew Wade,Hobart Hurricanes,Sydney Sixers,3.5,2.55,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Moises Henriques,Sydney Sixers,Hobart Hurricanes,3.5,2.6,NA,Neds
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 4s,Ben McDermott,Hobart Hurricanes,Sydney Sixers,3.5,2.5,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Beau Webster,Melbourne Stars,Perth Scorchers,1.5,1.65,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Thomas Rogers,NA,NA,1.5,1.55,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Joe Burns,Melbourne Stars,Perth Scorchers,1.5,1.65,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Sam Harper,Melbourne Stars,Perth Scorchers,1.5,1.6,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Josh Inglis,Perth Scorchers,Melbourne Stars,1.5,1.55,NA,Neds
Melbourne Stars v Perth Scorchers,Melbourne Stars,Perth Scorchers,Number of 4s,Cooper Connolly,Perth Scorchers,Melbourne Stars,1.5,1.6400000000000001,NA,Neds
